Código Receita|Receita||Jan|Fev|Mar|Abr|Mai|Jun|Jul|Ago|Set|Out|Nov|Dez|Total|
 1.1.1.2.02.00.000| Imp. S/ a Propriedade Predial e Territorial Urbana| Previsto| 92.944,45| 9.382.349,10| 2.077.519,52| 1.734.427,03| 1.747.780,98| 1.479.246,99| 1.562.792,18| 2.387.561,16| 1.451.132,42| 1.436.587,25| 1.391.777,30| 1.527.834,73| 26.271.953,11|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00|
 | | Arrecadado| 466.098,00| 452.907,39| 513.003,95| 514.205,72| 793.522,44| 636.344,12| 904.293,05| 657.729,16| 584.476,40| 631.089,41| 684.426,52| 1.460.276,00| 8.298.372,16|
 1.1.1.2.04.34.000| Retido nas Fontes - Outros Rendimentos| Previsto| 1.637,17| 63.292,65| 165.084,93| 193.564,09| 100.147,78| 86.617,22| 177.364,42| 117.708,04| 115.630,77| 95.480,14| 63.659,55| 154.326,71| 1.334.513,47|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00|
 | | Arrecadado| 439.530,19| 255.687,26| 398.510,97| 264.499,08| 838.331,23| 178.436,87| 212.819,27| 299.499,17| 242.936,34| 430.240,74| 213.460,02| 268.219,87| 4.042.171,01|
 1.1.1.3.05.00.000| Imposto Sobre Servicos de Qualquer Natureza-issqn| Previsto| 2.578.753,70| 1.803.390,86| 2.328.445,33| 2.299.465,35| 2.305.829,98| 2.465.982,93| 2.762.597,93| 2.639.481,86| 2.691.568,94| 3.528.748,94| 3.611.273,57| 4.037.150,86| 33.052.690,25|
 | | %| 100,00| 100,00| 100,00| 99,99| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00|
 | | Arrecadado| 5.022,47| 46.488,94| 40.712,10| 285.261,99| 23.804,34| 19.549,25| 17.341,37| 11.615,67| 13.235,72| 12.114,17| 14.163,00| 14.158,29| 503.467,31|
 1.1.2.1.25.00.000| Tx.lic.p/func.estab.com.,ind.e Prest.servicos| Previsto| 57.034,70| 304.564,79| 1.812.800,54| 117.859,71| 102.673,51| 97.121,20| 86.138,23| 138.494,57| 95.281,95| 127.158,79| 72.702,88| 69.811,87| 3.081.642,74|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00|
 | | Arrecadado| 1.383,76| 21.417,13| 16.688,45| 15.536,76| 218.828,26| 13.349,96| 7.152,74| 5.700,18| 6.118,54| 6.191,49| 6.374,18| 15.411,86| 334.153,31|
 1.1.2.1.29.00.000| Taxa de Licenca para Execucao de Obras| Previsto| 136.621,19| 22.781,19| 46.919,39| 42.654,46| 7.253,26| 154.200,83| 27.144,54| 41.074,17| 11.470,75| 2.446,69| 2.150,28| -4.737,73| 489.979,02|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00|
 | | Arrecadado| 1.413,13| 372,78| 769,20| 771,01| 35,00| 1.597,54| 770,00| 416,02| 35,00| 222,12| 214,04| 73,03| 6.688,87|
 1.1.2.1.99.00.001| Taxa de Expediente| Previsto| 33.466,31| 33.673,96| 84.269,65| 54.968,83| 39.151,95| 73.711,58| 67.767,72| 76.578,60| 40.216,64| 33.035,43| 27.152,64| 11.885,11| 575.878,42|
 | | %| 79,06| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 158,96| 100,00|
 | | Arrecadado| | 55.768,32| 1.531,45| 7.719,01| | | 9.861,41| 871,38| 6.125,80| 3.369,19| | | 85.246,56|
 1.1.2.1.99.00.003| Tx.fisc.oc.per.areas V.log.publico| Previsto| 862,92| 1.022,66| 2.160,32| 796,34| 908,85| 731,65| 1.683,61| 994,50| 1.122,24| 1.447,11| 859,38| 761,94| 13.351,52|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00|
 | | Arrecadado| 9.285,45| 8.389,08| 9.720,74| 16.746,26| 8.528,45| 13.360,14| 19.027,53| 9.041,04| 5.503,06| 4.304,05| 5.385,98| 17.585,64| 126.877,42|
 1.1.2.2.99.00.001| Tx.de Guincho e Estadia| Previsto| 13.732,00| 16.013,27| 17.174,00| 12.885,00| 10.098,00| 11.836,00| 13.896,31| 12.459,00| 13.996,27| 16.463,00| 18.076,00| 15.393,00| 172.021,85|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00|
 | | Arrecadado| 381,85| 409,38| 1.358,86| 1.074,27| 959,87| 983,82| 1.319,76| 814,68| 18.663,18| 85.783,88| 77.574,80| 46.769,55| 236.093,90|
 1.2.3.0.00.00.000| Contrib.p/o Custeio do Serv.de Iluminacao Publica| Previsto| 454.061,42| 447.856,66| 449.096,71| 493.557,14| 470.341,04| 490.278,00| 463.968,77| 489.910,75| 519.285,72| 466.063,99| 509.800,65| 472.975,60| 5.727.196,45|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00|
 | | Arrecadado| 10.220,42| 20.583,89| 17.020,39| 17.887,41| 12.587,64| 21.721,08| 31.047,08| 26.456,05| 27.369,15| 22.065,49| 14.075,45| 6.096,92| 227.130,97|
 1.3.2.5.01.03.001| Rem.dep.banc.atencao Basica| Previsto| 7.426,82| 8.126,96| 9.083,81| 10.226,33| 3.893,59| 3.873,42| 3.771,59| 1.054,99| 653,42| 1.018,44| 957,29| 539,37| 50.626,03|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00|
 | | Arrecadado| 235,09| 486,54| 943,29| 1.132,37| 1.123,45| 1.196,05| 2.202,56| 1.009,47| 2.159,61| 3.173,01| 4.859,29| 5.843,51| 24.364,24|
 1.3.2.5.01.03.003| Rem.dep.banc.media Alta Complex.| Previsto| 538,66| 486,06| 537,77| 452,55| 214,52| 422,28| 833,42| 826,53| 1.410,45| 2.077,77| 1.502,53| 261,17| 9.563,71|
 | | %| 42,31| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 218,99| 100,00|
 | | Arrecadado| 1.423,92| 1.171,54| 1.328,39| 1.513,95| 8.813,56| 9.457,15| 10.071,09| 10.647,84| 10.414,28| 11.711,13| 11.950,98| 11.826,53| 90.330,36|
 1.3.2.5.01.03.005| Rem.dep.banc.ass.farmaceutica| Previsto| 36,18| 303,97| 649,58| 912,19| 1.314,29| 1.752,21| 2.248,42| 1.922,96| 1.462,28| 950,04| 642,87| 1.167,34| 13.362,33|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00|
 | | Arrecadado| 1,63| 1,33| 1,51| 1,72| 1,72| 1,89| 2,38| 2,39| 2,54| 115,24| 114,29| 133,40| 380,04|
 1.3.2.5.01.03.007| Rem.dep.banc.assist.farmaceutica| Previsto| 22,21| 18,53| 63,09| 120,03| 585,96| 1.335,91| 2.039,88| 2.792,28| 3.927,19| 4.932,92| 3.842,79| 6.704,16| 26.384,95|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00|
 | | Arrecadado| 157,28| 102,29| 8,29| 9,42| 9,39| 10,31| 12,88| 12,05| 12,79| 14,99| 13,61| 15,67| 378,97|
 1.3.2.5.01.03.009| Rem.dep.equip.hospitalares| Previsto| | 10,22| 20,49| 25,56| 3,22| 4,33| 8,43| 4,41| 4,68| 5,48| 4,97| 5,73| 97,52|
 | | %| | 100,00| 100,00| 51,84| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00|
 | | Arrecadado| 562,76| 3.738,86| 5.721,77| 2.659,35| 1.281,77| 1.239,37| 1.920,43| 2.413,24| 2.234,44| 1.357,71| 449,09| 996,33| 24.575,12|
 1.3.2.5.01.05.002| Rem.dep.banc.rec.pnae| Previsto| 2,91| 3,27| 104,66| 717,27| 1.465,70| 1.685,90| 565,65| 1.395,79| 2.238,60| 2.624,72| 2.381,66| 4.402,69| 17.588,82|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00|
 | | Arrecadado| 758,79| 647,04| 1.428,98| 2.465,87| 1.405,92| 1.463,32| 1.049,38| 1.629,59| 1.775,71| 3.491,92| 6.969,74| 5.677,58| 28.763,84|
 1.3.2.5.01.05.004| Rem.dep.prog.mobil.par| Previsto| 15,95| 11,49| 12,26| 13,73| 13,47| 13,92| 16,81| 14,87| 12,46| 18,75| 10,53| 11,68| 165,92|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00|
 | | Arrecadado| 8,69| 7,12| 8,01| 9,89| 0,02| 0,02| 0,02| 0,02| | 0,01| 0,03| 0,02| 33,85|
 1.3.2.5.01.05.006| Rem.dep.banc.brasil Alfabetizado| Previsto| 57,59| 47,69| 54,46| 61,90| 61,72| 67,70| 84,69| 0,05| | | | | 435,80|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| | | | | 100,00|
 | | Arrecadado| 92.944,43| 9.382.349,15| 2.077.519,55| 1.734.427,04| 1.747.781,00| 1.479.247,03| 1.562.792,20| 2.387.561,17| 1.451.132,49| 1.436.587,30| 1.391.777,36| 1.527.834,75| 26.271.953,47|
 1.1.1.2.04.31.000| Retidos nas Fontes| Previsto| 466.098,00| 452.907,39| 513.003,95| 514.205,72| 793.522,44| 636.344,12| 904.293,05| 657.729,16| 584.476,40| 631.089,41| 684.426,52| 1.460.276,00| 8.298.372,16|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00|
 | | Arrecadado| 1.637,18| 63.292,69| 165.084,93| 193.564,12| 100.147,79| 86.617,24| 177.364,84| 117.708,06| 115.630,76| 95.480,16| 63.659,56| 154.326,30| 1.334.513,63|
 1.1.1.2.08.00.000| Imp.s/tr.inter Vivos-bens Imov.e Dir.reais S/imov.| Previsto| 439.530,12| 255.687,25| 398.510,92| 26.449,09| 838.331,18| 178.436,85| 212.819,22| 299.499,13| 242.936,32| 430.240,71| 213.460,02| 506.269,85| 4.042.170,66|
 | | %| 100,00| 100,00| 100,00| 1.000,03| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 52,98| 100,00|
 | | Arrecadado| 2.578.753,69| 1.803.390,89| 2.328.445,38| 2.299.278,48| 2.305.830,01| 2.465.982,95| 2.762.597,93| 2.639.481,90| 2.691.568,94| 3.528.748,99| 3.611.273,58| 4.037.337,78| 33.052.690,52|
 1.1.2.1.17.00.000| Taxa de Fiscalizacao de Vigilancia Sanitaria| Previsto| 5.022,47| 46.488,94| 40.712,10| 285.261,99| 23.804,34| 19.549,25| 17.341,37| 11.615,67| 13.235,72| 12.114,17| 14.163,00| 14.158,29| 503.467,31|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00|
 | | Arrecadado| 57.034,70| 304.564,79| 1.812.800,54| 117.859,71| 102.673,51| 97.121,20| 86.138,23| 138.494,57| 95.281,95| 127.158,79| 72.702,88| 69.811,87| 3.081.642,74|
 1.1.2.1.26.00.000| Taxa de Publicidade Comercial| Previsto| 1.383,76| 21.417,13| 16.688,45| 15.714,68| 218.828,26| 13.349,96| 7.152,74| 5.700,18| 6.118,54| 6.191,49| 6.374,18| 15.233,94| 334.153,31|
 | | %| 100,00| 100,00| 100,00| 98,87| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 101,17| 100,00|
 | | Arrecadado| 136.621,19| 22.781,19| 46.919,39| 42.654,46| 7.253,26| 154.200,83| 27.144,54| 41.074,17| 11.470,75| 2.446,69| 2.150,28| -4.737,73| 489.979,02|
 1.1.2.1.30.00.000| Taxa de Autorizacao de Funcionamento de Transporte| Previsto| 1.413,13| 372,78| 769,20| 771,01| 35,00| 1.597,54| 770,00| 416,02| 35,00| 222,12| 214,04| 73,03| 6.688,87|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00|
 | | Arrecadado| 26.459,35| 33.673,96| 84.269,65| 54.968,83| 39.151,95| 73.711,58| 67.767,72| 76.578,60| 40.216,64| 33.035,43| 27.152,64| 18.892,07| 575.878,42|
 1.1.2.1.99.00.002| Tx.fisc.obras Serv.ex.v.log.publico| Previsto| | 55.768,32| 1.531,45| 7.719,01| | | 8.329,96| 871,38| 6.125,80| 3.369,19| | 1.531,45| 85.246,56|
 | | %| | 100,00| 100,00| 100,00| | | 118,38| 100,00| 100,00| 100,00| | | 100,00|
 | | Arrecadado| 862,92| 1.022,66| 2.160,32| 796,34| 908,85| 731,65| 1.683,61| 994,50| 1.122,24| 1.447,11| 859,38| 761,94| 13.351,52|
 1.1.2.2.28.00.000| Taxa de Cemiterios| Previsto| 9.285,45| 8.389,08| 9.720,74| 1.646,26| 8.528,45| 13.360,14| 19.027,53| 9.041,04| 5.503,06| 4.304,05| 5.385,98| 32.685,64| 126.877,42|
 | | %| 100,00| 100,00| 100,00| 1.017,23| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 53,80| 100,00|
 | | Arrecadado| 13.732,00| 16.013,27| 17.174,00| 12.885,00| 10.098,00| 11.836,00| 13.896,31| 12.459,00| 13.996,27| 16.463,00| 18.076,00| 15.393,00| 172.021,85|
 1.1.2.2.99.00.002| Outras Tx.de Prestacao de Servicos| Previsto| 381,85| 409,38| 1.358,86| 1.077,31| 959,87| 983,82| 1.319,76| 814,68| 18.663,18| 85.783,88| 77.574,80| 46.766,51| 236.093,90|
 | | %| 100,00| 100,00| 100,00| 99,72| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,01| 100,00|
 | | Arrecadado| 454.061,42| 447.856,66| 449.096,71| 493.557,14| 470.341,04| 490.278,00| 463.968,77| 489.910,75| 519.285,72| 466.063,99| 509.800,65| 472.975,60| 5.727.196,45|
 1.3.2.5.01.02.001| Rem.dep.banc.rec.fundebe| Previsto| 10.220,42| 20.583,89| 17.020,39| 17.887,41| 12.587,64| 21.721,08| 31.047,08| 26.456,05| 27.369,15| 22.065,49| 14.075,45| 6.096,92| 227.130,97|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00|
 | | Arrecadado| 7.426,82| 8.126,96| 9.083,81| 10.226,33| 3.893,59| 3.873,42| 3.771,59| 1.054,99| 653,42| 1.018,44| 957,29| 539,37| 50.626,03|
 1.3.2.5.01.03.002| Rem.dep.banc.vig.saude| Previsto| 235,00| 486,54| 943,29| 1.132,37| 1.123,45| 1.196,05| 2.202,56| 1.009,47| 2.159,61| 3.173,01| 4.859,29| 5.843,60| 24.364,24|
 | | %| 100,04| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00|
 | | Arrecadado| 227,89| 486,06| 537,77| 452,55| 214,52| 422,28| 833,42| 826,53| 1.410,45| 2.077,77| 1.502,53| 571,94| 9.563,71|
 1.3.2.5.01.03.004| Rem.dep.banc.investimento| Previsto| 1.423,92| 1.171,54| 1.328,39| 1.513,95| 8.813,56| 9.457,15| 10.071,09| 10.647,84| 10.414,28| 11.711,13| 11.950,98| 11.826,53| 90.330,36|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00|
 | | Arrecadado| 36,18| 303,97| 649,58| 912,19| 1.314,29| 1.752,21| 2.248,42| 1.922,96| 1.462,28| 950,04| 642,87| 1.167,34| 13.362,33|
 1.3.2.5.01.03.006| Rem.dep.banc.gestao do Sus| Previsto| 1,63| 1,33| 1,51| 1,72| 1,72| 1,89| 2,38| 2,39| 2,54| 115,24| 114,29| 133,40| 380,04|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00|
 | | Arrecadado| 22,21| 18,53| 63,09| 120,03| 585,96| 1.335,91| 2.039,88| 2.792,28| 3.927,19| 4.932,92| 3.842,79| 6.704,16| 26.384,95|
 1.3.2.5.01.03.008| Rem.dep.ref.cs II| Previsto| 157,28| 102,29| 8,29| 9,42| 9,39| 10,31| 12,88| 12,05| 12,79| 14,99| 13,61| 15,67| 378,97|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00|
 | | Arrecadado| 12,31| 10,22| 20,49| 13,25| 3,22| 4,33| 8,43| 4,41| 4,68| 5,48| 4,97| 5,73| 97,52|
 1.3.2.5.01.05.001| Rem.dep.banc.qemse| Previsto| 562,76| 3.738,86| 5.721,77| 2.659,35| 1.281,77| 1.239,37| 1.920,43| 2.413,24| 2.234,44| 1.357,71| 449,09| 996,33| 24.575,12|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00|
 | | Arrecadado| 2,91| 3,27| 104,66| 717,27| 1.465,70| 1.685,90| 565,65| 1.395,79| 2.238,60| 2.624,72| 2.381,66| 4.402,69| 17.588,82|
 1.3.2.5.01.05.003| Rem.dep.banc.rec.proprio Ens.basico| Previsto| 758,79| 647,04| 1.428,98| 2.465,87| 1.405,92| 1.463,32| 1.049,38| 1.629,59| 1.775,71| 3.491,92| 6.969,74| 5.677,58| 28.763,84|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00|
 | | Arrecadado| 15,95| 11,49| 12,26| 13,73| 13,47| 13,92| 16,81| 14,87| 12,46| 18,75| 10,53| 11,68| 165,92|
 1.3.2.5.01.05.005| Rem.dep.banc.rec.pnap| Previsto| 8,69| 7,12| 8,01| 9,89| 0,02| 0,02| 0,02| 0,02| | 0,01| 0,03| 0,02| 33,85|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| | 100,00| 100,00| 100,00| 100,00|
 | | Arrecadado| 57,59| 47,69| 54,46| 61,90| 61,72| 67,70| 84,69| 0,05| | | | | 435,80|
 1.3.2.5.01.05.007| Rem.dep.proinfancia| Previsto| 392,28| 283,25| 338,64| 345,35| 179,53| 242,28| 291,79| 384,88| 272,38| 328,03| 280,18| 310,94| 3.649,53|
