Acumuladas;http://www.ale.am.gov.br/wp-content/uploads/2017/03/acumuladas.pdf;2017;Janeiro
Dep. Abdala Fraxe;http://www.ale.am.gov.br/wp-content/uploads/2017/03/Abdala.pdf;2017;Janeiro
Dep. Adjuto Afonso;http://www.ale.am.gov.br/wp-content/uploads/2017/03/Adjuto.pdf;2017;Janeiro
Dep. Alcimar Maciel;http://www.ale.am.gov.br/wp-content/uploads/2017/03/CAbo-Maciel.pdf;2017;Janeiro
Dep. Alessandra Campêlo;http://www.ale.am.gov.br/wp-content/uploads/2017/03/Alessandra.pdf;2017;Janeiro
Dep. Augusto Ferraz;http://www.ale.am.gov.br/wp-content/uploads/2017/03/Augusto-Ferraz.pdf;2017;Janeiro
Dep. Belarmino Lins;http://www.ale.am.gov.br/wp-content/uploads/2017/03/Belarmino-Lins1.pdf;2017;Janeiro
Dep. Bosco Saraiva;http://www.ale.am.gov.br/wp-content/uploads/2017/03/Bosco-Saraiva.pdf;2017;Janeiro
Dep. Carlos Alberto;http://www.ale.am.gov.br/wp-content/uploads/2017/03/Carlos-Alberto1.pdf;2017;Janeiro
Dep. David Almeida;http://www.ale.am.gov.br/wp-content/uploads/2017/03/David.pdf;2017;Janeiro
Dep. Dermilson Chagas;http://www.ale.am.gov.br/wp-content/uploads/2017/03/Dermilson1.pdf;2017;Janeiro
Dep. Francisco Gomes;http://www.ale.am.gov.br/wp-content/uploads/2017/03/Francisco-gomes1.pdf;2017;Janeiro
Dep. Francisco Souza;http://www.ale.am.gov.br/wp-content/uploads/2017/03/Francisco-Souza1.pdf;2017;Janeiro
Dep. José Ricardo;http://www.ale.am.gov.br/wp-content/uploads/2017/03/Jose-Ricardo.pdf;2017;Janeiro
Dep. Josué Neto;http://www.ale.am.gov.br/wp-content/uploads/2017/03/Josue-Neto.pdf;2017;Janeiro
Dep. Luiz Castro;http://www.ale.am.gov.br/wp-content/uploads/2017/03/Luiz-Castro.pdf;2017;Janeiro
Dep. Orlando Cidade;http://www.ale.am.gov.br/wp-content/uploads/2017/03/Orlando-Cidade.pdf;2017;Janeiro
Dep. Platiny Soares;http://www.ale.am.gov.br/wp-content/uploads/2017/03/Platiny.pdf;2017;Janeiro
Dep. Ricardo Nicolau;http://www.ale.am.gov.br/wp-content/uploads/2017/03/Ricardo-Nicolau.pdf;2017;Janeiro
Dep. Sabá Reis;http://www.ale.am.gov.br/wp-content/uploads/2017/03/Sebastiao-Reis.pdf;2017;Janeiro
Dep. Serafim Corrêa;http://www.ale.am.gov.br/wp-content/uploads/2017/03/Serafim.pdf;2017;Janeiro
Dep. Sidney Leite;http://www.ale.am.gov.br/wp-content/uploads/2017/03/Sidney-Leite.pdf;2017;Janeiro
Dep. Sinésio Campos;http://www.ale.am.gov.br/wp-content/uploads/2017/03/Sinesio.pdf;2017;Janeiro
Dep. Vicente Lopes;http://www.ale.am.gov.br/wp-content/uploads/2017/03/Vicente-Lopes.pdf;2017;Janeiro
Dep. Wanderley Dallas;http://www.ale.am.gov.br/wp-content/uploads/2017/03/Wanderley-Dallas.pdf;2017;Janeiro
acumuladas;http://www.ale.am.gov.br/wp-content/uploads/2017/03/acumuladas-1.pdf;2017;Fevereiro
Dep. Abdala Fraxe;http://www.ale.am.gov.br/wp-content/uploads/2017/03/abdala.pdf;2017;Fevereiro
Dep. Adjuto Afonso;http://www.ale.am.gov.br/wp-content/uploads/2017/03/adjuto.pdf;2017;Fevereiro
Dep. Alcimar Maciel;http://www.ale.am.gov.br/wp-content/uploads/2017/03/alcimar.pdf;2017;Fevereiro
Dep. Alessandra Campelo;http://www.ale.am.gov.br/wp-content/uploads/2017/03/alessandra.pdf;2017;Fevereiro
Dep. Augusto Ferraz;http://www.ale.am.gov.br/wp-content/uploads/2017/03/Augusto-ferraz.pdf;2017;Fevereiro
Dep. Belarmino Lins;http://www.ale.am.gov.br/wp-content/uploads/2017/03/belarmino.pdf;2017;Fevereiro
Dep. Bosco Saraiva;http://www.ale.am.gov.br/wp-content/uploads/2017/03/Bosco-Saraiva-1.pdf;2017;Fevereiro
